"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"350070","ESSENTIA HEALTH-FARGO","3000 32ND AVE SOUTH","","","FARGO","ND","58104","CASS","7013648000","99","104","","98","65",""
"460017","BRIGHAM CITY COMMUNITY HOSPITAL","950 SOUTH MEDICAL DRIVE","","","BRIGHAM CITY","UT","84302","BOX ELDER","4357349471","100","15","The number of cases is too small to reliably tell how well a hospital is performing","100","14","The number of cases is too small to reliably tell how well a hospital is performing"
"440063","JOHNSON CITY MEDICAL CENTER","400 N STATE OF FRANKLIN RD","","","JOHNSON CITY","TN","37604","WASHINGTON","4234316111","94","101","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","66","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","","","BAY SHORE","NY","11706","SUFFOLK","6319683000","99","168","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","95","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"060028","EXEMPLA SAINT JOSEPH HOSPITAL","1835 FRANKLIN ST","","","DENVER","CO","80218","DENVER","3038377111","97","134","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","92","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"200050","MAINE COAST MEMORIAL HOSPITAL","50 UNION ST","","","ELLSWORTH","ME","04605","HANCOCK","2076675311","95","62","","92","50",""
"460035","BEAVER VALLEY HOSPITAL","1109 NORTH 100 WEST","","","BEAVER","UT","84713","BEAVER","4354387102","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"260017","PHELPS COUNTY REGIONAL MEDICAL CENTER","1000 W 10TH ST","","","ROLLA","MO","65401","PHELPS","5734588899","95","201","","90","116",""
"110016","WEST GEORGIA MEDICAL CENTER","1514 VERNON ROAD","","","LAGRANGE","GA","30240","TROUP","7068821411","99","177","","100","98",""
"100181","LARKIN COMMUNITY HOSPITAL","7031 SW 62ND AVE","","","SOUTH MIAMI","FL","33143","MIAMI-DADE","3052847500","90","132","","86","81",""
"450200","WADLEY REGIONAL MEDICAL CENTER","1000 PINE STREET","","","TEXARKANA","TX","75501","BOWIE","9037988000","94","141","","94","77",""
"420087","ROPER HOSPITAL","316 CALHOUN ST","","","CHARLESTON","SC","29401","CHARLESTON","8437242800","99","161","","95","110",""
"510070","RALEIGH GENERAL HOSPITAL","1710 HARPER ROAD","","","BECKLEY","WV","25801","RALEIGH","3042564100","100","300","","98","197",""
"100209","KENDALL REGIONAL MEDICAL CENTER","11750 BIRD RD","","","MIAMI","FL","33175","MIAMI-DADE","3052233000","100","360","","99","172",""
"521314","MAYO CLINIC HEALTH SYSTEM- CHIPPEWA VALLEY, INC","1501 THOMPSON ST","","","BLOOMER","WI","54724","CHIPPEWA","7155682000","100","15","The number of cases is too small to reliably tell how well a hospital is performing","92","12","The number of cases is too small to reliably tell how well a hospital is performing"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","","","IOWA CITY                     ","IA","52246","JOHNSON","3193380581","100","40","","100","32",""
"240071","DISTRICT ONE HOSPITAL","200 STATE AVENUE","","","FARIBAULT","MN","55021","RICE","5073346451","100","45","","89","47",""
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD PO BOX 202","","","BURLINGTON","NC","27216","ALAMANCE","3365387000","92","232","","91","161",""
"190041","CHRISTUS SCHUMPERT HEALTH SYSTEM","ONE ST MARY PLACE","","","SHREVEPORT","LA","71101","CADDO","3186814500","96","130","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","64","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230013","DOCTORS' HOSPITAL OF MICHIGAN","461 W HURON ST","","","PONTIAC","MI","48341","OAKLAND","2488577200","92","25","","93","27",""
"521316","TRI COUNTY MEM HSPTL","18601 LINCOLN ST PO BOX 65","","","WHITEHALL","WI","54773","TREMPEALEAU","7155384361","97","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"241350","MERCY HOSPITAL","710 KENWOOD AVENUE SOUTH","","","MOOSE LAKE","MN","55767","CARLTON","2184854481","95","19","The number of cases is too small to reliably tell how well a hospital is performing","100","19","The number of cases is too small to reliably tell how well a hospital is performing"
"490063","INOVA FAIRFAX HOSPITAL","3300 GALLOWS RD","","","FALLS CHURCH","VA","22042","FAIRFAX","7037763332","99","90","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","51","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100045","FLORIDA HOSPITAL DELAND","701 W PLYMOUTH AVE","","","DELAND","FL","32720","VOLUSIA","3869434772","100","249","","96","139",""
"260177","LIBERTY HOSPITAL","2525 GLENN HENDREN DR","","","LIBERTY","MO","64069","CLAY","8167817200","95","231","","97","195",""
"161336","HEGG MEMORIAL HEALTH CENTER","1202 21ST AVENUE","","","ROCK VALLEY","IA","51247","SIOUX","7124768000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","","","MINNEAPOLIS","MN","55454","HENNEPIN","6122733000","95","256","","89","85",""
"170123","WESLEY MEDICAL CENTER","550 N HILLSIDE ST","","","WICHITA","KS","67214","SEDGWICK","3169622000","100","57","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","64","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"161302","WRIGHT MEDICAL CENTER","1316 SOUTH MAIN STREET","","","CLARION","IA","50525","WRIGHT","5155322811","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"170150","SOUTH CENTRAL KS  MED CENTER","6401 PATTERSON PARKWAY","","","ARKANSAS CITY","KS","67005","COWLEY","6204422500","100","20","The number of cases is too small to reliably tell how well a hospital is performing","93","28",""
"360107","BELLEVUE HOSPITAL","1400 WEST MAIN STREET","","","BELLEVUE","OH","44811","SANDUSKY","4194834040","99","79","","87","60",""
"110054","FLOYD MEDICAL CENTER","304 TURNER MCCALL BLVD P O BOX 233","","","ROME","GA","30162","FLOYD","7065096900","99","302","","97","200",""
"131319","MINIDOKA MEMORIAL HOSPITAL","1224 EIGHTH STREET","","","RUPERT","ID","83350","MINIDOKA","2084360481","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"360259","BAY PARK COMMUNITY HOSPITAL","2801 BAY PARK DRIVE","","","OREGON","OH","43616","LUCAS","4196907700","100","143","","94","77",""
"230003","SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","8333 FELCH ST","","","ZEELAND","MI","49464","OTTAWA","6167724644","99","143","","100","90",""
"381315","ST ALPHONSUS MEDICAL CENTER - BAKER CITY, INC","3325 POCAHONTAS ROAD","","","BAKER CITY","OR","97814","BAKER","5415236461","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"360212","LAKEWOOD HOSPITAL","14519 DETROIT AVENUE","","","LAKEWOOD","OH","44107","CUYAHOGA","2165214200","96","169","","98","92",""
"070028","ST VINCENT'S MEDICAL CENTER","2800 MAIN ST","","","BRIDGEPORT","CT","06606","FAIRFIELD","2035765551","99","378","","95","186",""
"450107","LAS PALMAS MEDICAL CENTER","1801 NORTH OREGON STREET","","","EL PASO","TX","79902","EL PASO","9155211200","100","516","","100","303",""
"450187","SCOTT & WHITE HOSPITAL BRENHAM","700 MEDICAL PARKWAY","","","BRENHAM","TX","77833","WASHINGTON","9798366173","98","65","","97","30",""
"250001","UNIVERSITY OF MISSISSIPPI MED CENTER","2500 N STATE ST","","","JACKSON","MS","39216","HINDS","6019844100","97","151","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","46","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141350","ST FRANCIS HOSPITAL","1215 FRANCISCAN DR","","","LITCHFIELD","IL","62056","MONTGOMERY","2173242191","99","69","","88","41",""
"440109","HARDIN MEDICAL CENTER","935 WAYNE ROAD","","","SAVANNAH","TN","38372","HARDIN","7319268121","93","135","","85","92",""
"440060","MILAN GENERAL HOSPITAL","4039 HIGHLAND ST","","","MILAN","TN","38358","GIBSON","7316861591","100","13","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","","","LENOIR","NC","28645","CALDWELL","8287575100","99","172","","98","92",""
"340142","CARTERET GENERAL HOSPITAL","3500 ARENDELL ST","","","MOREHEAD CITY","NC","28557","CARTERET","2528086000","98","178","","98","103",""
"450101","HILLCREST BAPTIST MEDICAL CENTER","100 HILLCREST MEDICAL BLVD","","","WACO","TX","76712","MCLENNAN","2542022000","96","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","94","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"061323","PROWERS MEDICAL CENTER","401 KENDALL DRIVE","","","LAMAR","CO","81052","PROWERS","7193364343","79","29","","60","20","The number of cases is too small to reliably tell how well a hospital is performing"
"230108","PORTAGE HEALTH HOSPITAL","500 CAMPUS DRIVE","","","HANCOCK","MI","49930","HOUGHTON","9064831000","100","40","","96","26",""
"170133","CUSHING MEMORIAL HOSPITAL","711 MARSHALL STREET","","","LEAVENWORTH","KS","66048","LEAVENWORTH","9136841102","100","47","","77","30",""
"310054","HACKENSACKUMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","","","MONTCLAIR","NJ","07042","ESSEX","9734296000","99","213","","100","129",""
"280128","NEBRASKA HEART HOSPITAL","7500 SOUTH 91ST ST","","","LINCOLN","NE","68526","LANCASTER","4023283000","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"500016","CENTRAL WASHINGTON HOSPITAL","1201 SOUTH MILLER STREET","","","WENATCHEE","WA","98807","CHELAN","5096621511","97","119","","100","64",""
"151308","ST VINCENT MERCY HOSPITAL","1331 S A ST","","","ELWOOD","IN","46036","MADISON","7655524594","85","26","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","79","19","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"130007","ST ALPHONSUS REGIONAL MEDICAL CENTER","1055 NORTH CURTIS ROAD","","","BOISE","ID","83706","ADA","2083672121","97","222","","95","150",""
"370011","MERCY HOSPITAL EL RENO","2115 PARK VIEW DRIVE","","","EL RENO","OK","73036","CANADIAN","4052622640","90","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","78","49","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250163","PATIENTS CHOICE MEDICAL CENTER","347 MAGNOLIA DRIVE","","","RALEIGH","MS","39153","SMITH","6017829998","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"281345","PROVIDENCE MEDICAL CENTER","1200 PROVIDENCE RD","","","WAYNE","NE","68787","WAYNE","4023753800","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"351331","TOWNER COUNTY MEDICAL CENTER","HWY 281 N","","","CANDO","ND","58324","TOWNER","7019684411","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"341319","TRANSYLVANIA REGIONAL HOSPITAL, INC","90 HOSPITAL DRIVE PO BOX 1116","","","BREVARD","NC","28712","TRANSYLVANIA","8288835302","100","68","","98","43",""
"450872","USMD HOSPITAL AT ARLINGTON L P","801 W INTERSTATE 20","","","ARLINGTON","TX","76017","TARRANT","8174723400","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
